Keyword_id,Faculty_id,Faculty_score
30946,33,98.3933
32768,33,86.1008
35451,33,88.0456
45115,33,403.452
52291,33,168.118
72609,33,308.299
806,34,63.3916
1883,34,132.345
2091,34,53.5069
2412,34,76.9904
2578,34,165.641
2932,34,37.9
3226,34,51.731
3854,34,656.52
6630,34,50.2478
15140,34,56.1022
19738,34,597.384
26278,34,270.615
30837,34,33.3351
32230,34,40.7746
42885,34,36.619
63632,34,95.5074
75892,34,110.421
16,35,0.627356
298,35,0.141944
322,35,0.314085
394,35,0.153293
413,35,0.120635
438,35,0.150713
3272,35,0.183397
4413,35,0.11219
5791,35,0.240916
10109,35,0.11602
10384,35,1.51425
12142,35,0.0851656
17768,35,0.215947
22244,35,0.0708135
25487,35,0.208624
33820,35,0.163562
34139,35,0.0999882
122,36,300.486
249,36,385.356
382,36,2220.83
945,36,112.024
1079,36,289.375
4235,36,526.859
4336,36,188.041
5015,36,1084.16
7887,36,139.294
8554,36,227.229
8873,36,496.327
9674,36,388.369
13174,36,265.591
20321,36,465.06
31053,36,115.751
38471,36,355.636
43794,36,147.877
4,37,250.973
75,37,191.142
314,37,291.053
328,37,284.317
1568,37,316.206
1741,37,391.338
2085,37,330.812
2483,37,293.705
3345,37,176.122
4606,37,169.371
5985,37,238.664
9693,37,290.909
17910,37,463.802
21174,37,228.919
23862,37,832.146
25096,37,315.005
43951,37,234.771
16,38,260.8
30,38,245.068
45,38,335.641
54,38,454.555
76,38,189.633
2540,38,275.914
3038,38,161.481
3603,38,236.013
5067,38,600.856
5071,38,157.9
5375,38,329.541
7000,38,160.59
13016,38,210.911
22641,38,157.159
23541,38,211.07
26356,38,512.796
66105,38,178.093
11,39,3.96913
406,39,2.57443
852,39,2.99272
971,39,7.191
2742,39,4.92185
5347,39,11.0221
5970,39,8.94648
8571,39,3.53696
8597,39,13.1371
9195,39,3.35261
11079,39,3.1282
21471,39,10.1694
23650,39,10.5021
28385,39,4.89281
42063,39,14.9453
52603,39,3.91342
55992,39,3.7838
507,40,9.84648
509,40,12.0386
543,40,11.9006
791,40,13.9102
1295,40,28.1529
1855,40,10.2753
3149,40,12.0532
4090,40,21.4235
6179,40,15.7079
7312,40,13.6257
7429,40,8.81071
9824,40,19.9395
11709,40,77.8115
15007,40,17.9611
15747,40,20.6919
24469,40,15.2733
72503,40,12.7573
336,42,2.80506
581,42,0.100773
4614,42,1.48713
6966,42,0.102181
21327,42,0.591839
25304,42,3.89033
28768,42,0.966059
52291,42,0.951683
73757,42,0.104942
402,43,64.0338
1741,43,51.0633
1903,43,87.2871
3681,43,70.1248
7041,43,62.3118
7890,43,38.9585
8373,43,51.7635
10210,43,33.7957
12344,43,41.5354
19856,43,98.2749
23533,43,31.5144
24565,43,44.1484
28768,43,31.7377
42792,43,63.3943
66941,43,106.171
73755,43,36.6765
76472,43,46.374
186,44,232.664
1993,44,205.907
3801,44,1239.47
4648,44,129.706
5578,44,328.614
7231,44,152.611
9855,44,163.246
12786,44,229.813
15411,44,151.109
15706,44,207.866
19761,44,182.024
24033,44,480.26
25020,44,168.818
25985,44,236.045
39065,44,136.179
44049,44,150.499
78512,44,776.081
67,45,50.1702
113,45,17.2366
543,45,26.2332
878,45,27.4481
2108,45,33.8233
2140,45,35.7167
5270,45,112.178
6182,45,22.74
6726,45,16.5761
10891,45,27.8318
16529,45,21.5512
26527,45,19.2762
33758,45,31.9726
36604,45,58.5591
48986,45,24.7742
50886,45,24.9272
74632,45,20.9661
22,46,524.326
113,46,27.4391
361,46,840.821
2102,46,63.6873
2788,46,285.452
2932,46,210.301
3597,46,33.6018
4599,46,302.616
9053,46,237.53
10347,46,23.3262
11449,46,948.612
11830,46,52.4546
13792,46,67.3782
23574,46,28.3406
23907,46,20.6926
33995,46,464.057
50715,46,216.023
37,47,49.4295
40,47,33.8961
324,47,26.4947
1523,47,205.606
1963,47,21.5928
2368,47,21.4749
3511,47,51.8105
5123,47,26.5808
8263,47,30.1718
11346,47,24.6462
12844,47,20.2581
17148,47,34.8944
17440,47,29.9051
18497,47,29.4917
20423,47,52.9907
37614,47,65.4396
54496,47,24.2756
3,48,12.7755
45,48,10.8397
90,48,12.6729
112,48,12.1511
345,48,17.9031
406,48,17.1607
416,48,16.512
759,48,16.7142
1993,48,10.7883
14586,48,33.0993
15824,48,13.0838
23256,48,18.9189
25020,48,47.8841
37052,48,25.0665
40780,48,19.1047
42100,48,10.3858
66234,48,91.6282
165,49,0.816809
306,49,0.616557
613,49,0.435408
716,49,0.331517
2443,49,0.848496
2537,49,0.923062
2717,49,0.35223
8879,49,0.651926
9796,49,1.20383
15190,49,3.32243
21674,49,0.331946
26713,49,0.389775
37134,49,0.331404
39406,49,0.808738
39752,49,1.76102
55439,49,0.467499
75109,49,3.51628
4,50,390.862
54,50,424.27
315,50,134.917
614,50,92.2073
2965,50,481.066
3012,50,117.156
3331,50,171.827
4248,50,291.74
4599,50,95.643
9024,50,101.693
9792,50,115.061
10385,50,252.742
14199,50,240.376
25764,50,162.797
26914,50,136.631
39119,50,1364.81
55460,50,145.753
507,51,1.4803
1977,51,0.333765
4842,51,1.41708
6795,51,1.03656
7429,51,0.260976
9007,51,1.1074
11652,51,0.438011
12786,51,1.40855
21360,51,1.50828
25540,51,0.524052
25873,51,0.192608
30907,51,0.891929
39381,51,1.37425
48871,51,0.277251
52535,51,0.313817
67101,51,0.257124
67199,51,1.45404
322,52,6.24427
506,52,7.48228
1042,52,8.19267
1076,52,8.1079
1102,52,5.3043
2713,52,5.03341
3774,52,6.60423
5053,52,43.494
6354,52,19.4591
9509,52,7.76484
9931,52,15.4217
12910,52,10.2915
18605,52,11.4239
33857,52,35.5545
35554,52,7.89253
40209,52,5.38122
47776,52,22.955
1076,53,0.0759755
1841,53,0
2626,53,0
2953,53,0.0561242
4888,53,0.0680874
9931,53,0.0904549
12134,53,0
12910,53,0.225399
13346,53,0
14958,53,0
16184,53,0.176643
19767,53,0
22787,53,0.152983
23378,53,0
24430,53,0
24751,53,0
24754,53,0
32510,53,0
36243,53,0
38515,53,0
43776,53,0
47018,53,0
51966,53,0.0777524
59674,53,0
65049,53,0.0765797
73908,53,0
147,54,8.50381
249,54,12.3948
504,54,32.9837
1077,54,5.80533
1432,54,14.0087
4057,54,5.65586
4730,54,9.67419
5971,54,8.23583
8495,54,4.78219
9294,54,7.57875
9712,54,35.5513
11251,54,8.83507
22762,54,6.679
25937,54,33.5209
59880,54,7.13188
64730,54,36.1373
76487,54,23.5639
30,55,27.966
112,55,18.655
1214,55,20.452
1492,55,20.3384
3382,55,15.0943
3906,55,81.4106
6243,55,25.0435
6766,55,18.6236
8263,55,26.8781
9344,55,14.7861
11461,55,22.6452
11925,55,15.0532
14724,55,37.8233
15970,55,26.879
20539,55,39.4503
28875,55,22.9818
45091,55,11.9671
124,57,5.12016
416,57,27.4376
1119,57,6.77673
1977,57,7.90443
2572,57,8.69461
3271,57,4.39493
6213,57,4.68806
7820,57,15.1262
7854,57,9.30171
11249,57,10.8657
11381,57,10.3804
13362,57,14.8775
13771,57,28.1911
15007,57,8.06383
22312,57,64.1131
48088,57,15.0927
75620,57,4.37652
572,58,4.93104
589,58,62.8591
804,58,6.8471
850,58,5.37923
1022,58,16.3318
1132,58,3.41736
1311,58,74.7325
2026,58,5.33687
4244,58,13.1847
6392,58,13.1905
8084,58,7.66208
11111,58,4.21334
16354,58,4.7195
40986,58,9.30529
53766,58,4.19696
74041,58,3.52252
78731,58,27.0281
115,59,22.2269
120,59,53.0003
125,59,17.6062
622,59,100.445
4039,59,18.4888
7827,59,19.041
15149,59,31.042
15571,59,25.8221
25509,59,45.5042
26527,59,218.271
34814,59,42.8288
43742,59,21.0814
55303,59,112.354
71914,59,29.0738
74627,59,23.4356
78512,59,20.6347
78937,59,23.9688
86,60,45.4642
304,60,63.6924
2626,60,284.216
2689,60,81.2286
3048,60,65.7015
3685,60,54.7888
4413,60,43.459
18482,60,55.7756
18867,60,59.0355
18868,60,44.1146
24751,60,71.979
25592,60,169.657
27990,60,42.249
29896,60,52.2653
34141,60,49.1325
44801,60,182.598
64901,60,44.18
1176,62,45.1201
3130,62,56.6406
3547,62,127.166
4795,62,42.1711
6040,62,33.3004
8010,62,77.5492
11962,62,54.5356
12293,62,48.9644
12359,62,82.945
13430,62,80.7013
18876,62,124.957
27610,62,35.806
36441,62,71.2852
53459,62,33.0692
60972,62,115.062
64900,62,34.1837
70142,62,42.2037
141,63,17.089
240,63,14.1842
730,63,21.4781
908,63,13.2376
1011,63,26.6201
1311,63,64.147
2026,63,15.2002
2238,63,32.8077
3044,63,14.5111
6446,63,34.0565
7318,63,10.2351
7827,63,11.0579
9704,63,16.8928
10407,63,15.6251
11665,63,72.362
14199,63,35.6838
17010,63,17.9783
2799,64,3.49243
4683,64,1.55079
5272,64,1.42297
5380,64,1.27922
7227,64,1.51738
15526,64,11.8402
30882,64,0.932137
72930,64,1.36049
74391,64,2.60441
803,66,175.266
969,66,48.9507
2388,66,60.2952
2759,66,114.633
6276,66,48.6867
7143,66,60.8647
9496,66,88.4356
11404,66,99.1038
13537,66,41.7282
14480,66,35.8591
20404,66,46.2238
22297,66,74.0683
22875,66,49.0213
23522,66,54.2611
42853,66,55.8119
43292,66,188.6
64976,66,59.7614
647,68,0.345102
2017,68,0.432078
2019,68,0.323859
8341,68,0.620008
10438,68,1.48498
12142,68,0.46645
17892,68,0.505581
40507,68,0.379402
80386,68,1.44254
